Time,SPEI
1973 Jul,0.34
1973 Aug,-0.93
1973 Sep,0.22
1973 Oct,0.31
1973 Nov,0.29
1973 Dec,1.3
1974 Jan,1.13
1974 Feb,0.42
1974 Mar,0.19
1974 Apr,0.04
1974 May,1.34
1974 Jun,1.1
1974 Jul,-1.18
1974 Aug,0.57
1974 Sep,0.14
1974 Oct,-0.5
1974 Nov,0.52
1974 Dec,0.02
1975 Jan,1.08
1975 Feb,1.13
1975 Mar,0.35
1975 Apr,0.63
1975 May,-0.24
1975 Jun,0
1975 Jul,-0.06
1975 Aug,0.88
1975 Sep,0.12
1975 Oct,-0.66
1975 Nov,-0.02
1975 Dec,0.39
1976 Jan,-0.84
1976 Feb,0.09
1976 Mar,0.88
1976 Apr,-0.68
1976 May,0.12
1976 Jun,-0.53
1976 Jul,-0.19
1976 Aug,-0.47
1976 Sep,-0.28
1976 Oct,0.68
1976 Nov,-1.24
1976 Dec,-1.81
1977 Jan,-0.73
1977 Feb,-0.45
1977 Mar,1.23
1977 Apr,-1.43
1977 May,-1.03
1977 Jun,-0.17
1977 Jul,-0.01
1977 Aug,1.69
1977 Sep,0.65
1977 Oct,0.92
1977 Nov,0.01
1977 Dec,0.41
1978 Jan,-0.61
1978 Feb,-1.26
1978 Mar,0.13
1978 Apr,0.08
1978 May,0.53
1978 Jun,-0.51
1978 Jul,0.64
1978 Aug,-0.02
1978 Sep,-0.54
1978 Oct,-0.24
1978 Nov,0.42
1978 Dec,0.62
1979 Jan,1.05
1979 Feb,-0.17
1979 Mar,1.09
1979 Apr,1.29
1979 May,-0.82
1979 Jun,-0.57
1979 Jul,0.97
1979 Aug,0.9
1979 Sep,-1.69
1979 Oct,-0.47
1979 Nov,0.52
1979 Dec,0
1980 Jan,-0.99
1980 Feb,-0.46
1980 Mar,0.41
1980 Apr,-0.5
1980 May,-0.62
1980 Jun,0.35
1980 Jul,-0.55
1980 Aug,0.61
1980 Sep,0.68
1980 Oct,-0.01
1980 Nov,-1.13
1980 Dec,-0.29
1981 Jan,-1.91
1981 Feb,0.55
1981 Mar,-1.42
1981 Apr,0.45
1981 May,1.02
1981 Jun,0.55
1981 Jul,1.09
1981 Aug,1.17
1981 Sep,-0.03
1981 Oct,0.08
1981 Nov,-0.69
1981 Dec,-0.33
1982 Jan,1.2
1982 Feb,-0.59
1982 Mar,0.61
1982 Apr,0.14
1982 May,-0.19
1982 Jun,0.32
1982 Jul,0.96
1982 Aug,0.16
1982 Sep,-0.1
1982 Oct,-0.02
1982 Nov,0.96
1982 Dec,2.19
1983 Jan,-1.42
1983 Feb,-0.64
1983 Mar,0.18
1983 Apr,1.39
1983 May,0.83
1983 Jun,-0.15
1983 Jul,-1.26
1983 Aug,-1.19
1983 Sep,-0.46
1983 Oct,0.89
1983 Nov,1.44
1983 Dec,0.92
1984 Jan,-1.24
1984 Feb,0.24
1984 Mar,0.88
